# word	pos      (stems only; vocab.py inflects nouns/verbs)
the	DET
a	DET
an	DET
this	DET
that	DET
these	DET
those	DET
my	DET
your	DET
his	DET
her	DET
its	DET
our	DET
their	DET
some	DET
any	DET
no	DET
every	DET
each	DET
both	DET
all	DET
another	DET
I	PRON
you	PRON
he	PRON
she	PRON
it	PRON
we	PRON
they	PRON
me	PRONO
him	PRONO
us	PRONO
them	PRONO
myself	PRONO
yourself	PRONO
himself	PRONO
herself	PRONO
itself	PRONO
ourselves	PRONO
yourselves	PRONO
themselves	PRONO
someone	PRON
something	PRON
nothing	PRON
everyone	PRON
nobody	PRON
is	AUXS
was	AUXS
has	AUXS
does	AUXS
are	AUXP
were	AUXP
have	AUXP
do	AUXP
had	AUXP
did	AUXP
been	PART
being	PART
will	MODAL
can	MODAL
must	MODAL
should	MODAL
would	MODAL
could	MODAL
may	MODAL
might	MODAL
not	NEG
to	PART
cat	N
dog	N
man	N
woman	N
boy	N
girl	N
child	N
baby	N
friend	N
teacher	N
doctor	N
driver	N
farmer	N
worker	N
student	N
person	N
house	N
car	N
food	N
water	N
fish	N
bird	N
tree	N
book	N
table	N
chair	N
door	N
window	N
box	N
ball	N
city	N
street	N
room	N
kitchen	N
garden	N
school	N
store	N
office	N
park	N
farm	N
river	N
hill	N
road	N
train	N
bus	N
plane	N
boat	N
horse	N
cow	N
mouse	N
rain	N
sun	N
sky	N
fire	N
name	N
day	N
night	N
morning	N
time	N
year	N
week	N
hour	N
hand	N
eye	N
head	N
foot	N
money	N
milk	N
bread	N
apple	N
coffee	N
music	N
story	N
letter	N
phone	N
computer	N
key	N
bag	N
hat	N
shoe	N
animal	N
place	N
thing	N
idea	N
word	N
game	N
picture	N
paper	N
question	N
answer	N
problem	N
reason	N
group	N
family	N
number	N
line	N
side	N
end	N
part	N
eat	V
run	V
sleep	V
jump	V
see	V
like	V
want	V
take	V
give	V
make	V
go	V
come	V
know	V
think	V
say	V
find	V
walk	V
sit	V
stand	V
open	V
close	V
read	V
write	V
play	V
work	V
help	V
hold	V
buy	V
sell	V
drink	V
carry	V
chase	V
watch	V
hear	V
feel	V
bring	V
look	V
ask	V
tell	V
use	V
try	V
call	V
move	V
live	V
learn	V
start	V
stop	V
wait	V
keep	V
put	V
turn	V
show	V
need	V
love	V
hate	V
break	V
build	V
catch	V
cook	V
clean	V
wash	V
send	V
lose	V
win	V
follow	V
big	ADJ
small	ADJ
large	ADJ
little	ADJ
old	ADJ
young	ADJ
new	ADJ
good	ADJ
bad	ADJ
happy	ADJ
sad	ADJ
angry	ADJ
tired	ADJ
hungry	ADJ
thirsty	ADJ
red	ADJ
blue	ADJ
green	ADJ
black	ADJ
white	ADJ
warm	ADJ
cold	ADJ
hot	ADJ
fast	ADJ
slow	ADJ
long	ADJ
short	ADJ
tall	ADJ
heavy	ADJ
light	ADJ
quiet	ADJ
loud	ADJ
clean	ADJ
dirty	ADJ
easy	ADJ
hard	ADJ
strong	ADJ
weak	ADJ
ready	ADJ
busy	ADJ
empty	ADJ
full	ADJ
open	ADJ
closed	ADJ
right	ADJ
wrong	ADJ
same	ADJ
different	ADJ
first	ADJ
last	ADJ
next	ADJ
many	ADJ
few	ADJ
more	ADJ
most	ADJ
other	ADJ
own	ADJ
quickly	ADV
slowly	ADV
quietly	ADV
loudly	ADV
carefully	ADV
suddenly	ADV
always	ADV
never	ADV
often	ADV
sometimes	ADV
usually	ADV
now	ADV
then	ADV
today	ADV
yesterday	ADV
tomorrow	ADV
here	ADV
there	ADV
again	ADV
still	ADV
very	ADV
too	ADV
also	ADV
just	ADV
only	ADV
away	ADV
back	ADV
together	ADV
almost	ADV
later	ADV
early	ADV
late	ADV
in	PREP
on	PREP
at	PREP
to	PREP
from	PREP
with	PREP
without	PREP
of	PREP
for	PREP
by	PREP
about	PREP
under	PREP
over	PREP
into	PREP
onto	PREP
inside	PREP
outside	PREP
near	PREP
behind	PREP
between	PREP
through	PREP
across	PREP
after	PREP
before	PREP
during	PREP
around	PREP
against	PREP
and	CONJ
or	CONJ
but	CONJ
because	CONJ
so	CONJ
if	CONJ
when	CONJ
while	CONJ
although	CONJ
than	CONJ
that	CONJ
until	CONJ
since	CONJ
who	WH
what	WH
which	WH
where	WH
why	WH
how	WH
whose	WH
whom	WH
one	NUM
two	NUM
three	NUM
four	NUM
five	NUM
six	NUM
seven	NUM
eight	NUM
nine	NUM
ten	NUM
.	PUNCT
,	PUNCT
?	PUNCT
!	PUNCT
# --- common English, appended for the larger V2/V3 vocabularies ---
world	N
country	N
company	N
business	N
job	N
team	N
member	N
leader	N
president	N
government	N
law	N
court	N
police	N
war	N
army	N
peace	N
health	N
hospital	N
medicine	N
science	N
study	N
research	N
test	N
result	N
effect	N
cause	N
change	N
chance	N
choice	N
power	N
energy	N
sound	N
voice	N
song	N
film	N
movie	N
art	N
colour	N
shape	N
size	N
weight	N
price	N
cost	N
value	N
market	N
shop	N
product	N
service	N
customer	N
order	N
plan	N
project	N
report	N
news	N
page	N
note	N
list	N
chart	N
data	N
information	N
history	N
future	N
past	N
present	N
moment	N
minute	N
second	N
month	N
season	N
summer	N
winter	N
spring	N
autumn	N
weather	N
wind	N
snow	N
cloud	N
star	N
moon	N
earth	N
ground	N
field	N
forest	N
mountain	N
sea	N
ocean	N
lake	N
island	N
beach	N
wall	N
floor	N
roof	N
stair	N
bed	N
sofa	N
lamp	N
clock	N
mirror	N
plate	N
cup	N
glass	N
knife	N
fork	N
spoon	N
bottle	N
meat	N
rice	N
sugar	N
salt	N
egg	N
cheese	N
fruit	N
vegetable	N
tea	N
juice	N
cake	N
soup	N
dinner	N
lunch	N
breakfast	N
meal	N
party	N
holiday	N
trip	N
journey	N
ticket	N
station	N
airport	N
hotel	N
restaurant	N
library	N
museum	N
church	N
bank	N
corner	N
centre	N
edge	N
top	N
bottom	N
front	N
middle	N
level	N
stage	N
step	N
point	N
area	N
space	N
parent	N
mother	N
father	N
son	N
daughter	N
brother	N
sister	N
uncle	N
aunt	N
cousin	N
neighbour	N
guest	N
owner	N
writer	N
artist	N
singer	N
player	N
runner	N
builder	N
seller	N
buyer	N
reader	N
speaker	N
listener	N
language	N
sentence	N
rule	N
example	N
solution	N
purpose	N
meaning	N
sense	N
feeling	N
thought	N
memory	N
dream	N
hope	N
fear	N
joy	N
anger	N
sorrow	N
smile	N
laugh	N
tear	N
kind	N
sort	N
type	N
form	N
class	N
system	N
method	N
process	N
action	N
event	N
period	N
century	N
decade	N
age	N
youth	N
body	N
face	N
hair	N
mouth	N
nose	N
ear	N
arm	N
leg	N
finger	N
heart	N
mind	N
soul	N
skin	N
bone	N
blood	N
strength	N
weakness	N
become	V
begin	V
finish	V
continue	V
return	V
arrive	V
leave	V
enter	V
exit	V
climb	V
fall	V
rise	V
drop	V
push	V
pull	V
lift	V
throw	V
kick	V
hit	V
touch	V
press	V
cut	V
fold	V
pour	V
fill	V
cover	V
uncover	V
hide	V
wave	V
nod	V
shake	V
cry	V
shout	V
whisper	V
speak	V
talk	V
reply	V
explain	V
describe	V
remember	V
forget	V
understand	V
believe	V
doubt	V
agree	V
disagree	V
decide	V
choose	V
accept	V
refuse	V
allow	V
forbid	V
promise	V
offer	V
thank	V
apologise	V
greet	V
welcome	V
invite	V
visit	V
meet	V
join	V
lead	V
guide	V
teach	V
practise	V
prepare	V
bake	V
serve	V
taste	V
smell	V
listen	V
notice	V
observe	V
search	V
discover	V
invent	V
create	V
destroy	V
repair	V
fix	V
improve	V
grow	V
shrink	V
measure	V
count	V
add	V
remove	V
replace	V
compare	V
arrange	V
calm	ADJ
gentle	ADJ
cruel	ADJ
honest	ADJ
brave	ADJ
afraid	ADJ
nervous	ADJ
proud	ADJ
humble	ADJ
clever	ADJ
stupid	ADJ
wise	ADJ
foolish	ADJ
careful	ADJ
careless	ADJ
polite	ADJ
rude	ADJ
friendly	ADJ
lonely	ADJ
popular	ADJ
famous	ADJ
ordinary	ADJ
strange	ADJ
normal	ADJ
simple	ADJ
complex	ADJ
difficult	ADJ
possible	ADJ
impossible	ADJ
certain	ADJ
likely	ADJ
sure	ADJ
willing	ADJ
able	ADJ
fresh	ADJ
stale	ADJ
sweet	ADJ
sour	ADJ
bitter	ADJ
salty	ADJ
spicy	ADJ
smooth	ADJ
rough	ADJ
sharp	ADJ
blunt	ADJ
narrow	ADJ
wide	ADJ
deep	ADJ
shallow	ADJ
thick	ADJ
thin	ADJ
straight	ADJ
curved	ADJ
round	ADJ
square	ADJ
flat	ADJ
steep	ADJ
bright	ADJ
dark	ADJ
pale	ADJ
dull	ADJ
shiny	ADJ
modern	ADJ
ancient	ADJ
recent	ADJ
common	ADJ
rare	ADJ
free	ADJ
safe	ADJ
dangerous	ADJ
healthy	ADJ
sick	ADJ
rich	ADJ
poor	ADJ
cheap	ADJ
expensive	ADJ
useful	ADJ
useless	ADJ
important	ADJ
minor	ADJ
major	ADJ
total	ADJ
whole	ADJ
partial	ADJ
really	ADV
truly	ADV
clearly	ADV
simply	ADV
nearly	ADV
hardly	ADV
barely	ADV
mostly	ADV
partly	ADV
exactly	ADV
probably	ADV
perhaps	ADV
certainly	ADV
definitely	ADV
finally	ADV
eventually	ADV
immediately	ADV
soon	ADV
already	ADV
yet	ADV
even	ADV
rather	ADV
quite	ADV
somewhat	ADV
especially	ADV
particularly	ADV
instead	ADV
otherwise	ADV
however	ADV
therefore	ADV
meanwhile	ADV
everywhere	ADV
anywhere	ADV
nowhere	ADV
somewhere	ADV
ahead	ADV
nearby	ADV
abroad	ADV
